Path,      Total Latency (s),    Total Noise Power (W)  ,  SNR (dB)  
C->B->D->F,0.009817054589341411,1.962052617105895e-06,27.072893501607926
C->B->E->A->D->F,0.015430435215948985,3.083952067599405e-06,25.10892380601254
C->B->E->F,0.01003016603103598,2.004645419061587e-06,26.979624340977686
C->B->F,0.0029319086236014183,5.859760619339107e-07,32.321201252487306
C->D->A->E->B->F,0.014131149175462982,2.8242746304511474e-06,25.490930750811334
C->D->A->E->F,0.012027775259911597,2.4038908729603248e-06,26.190852514558514
C->D->A->B->E->F,0.019655772750762756,3.928434951227059e-06,24.057804337007163
C->D->A->B->F,0.012557515343328196,2.5097655940993832e-06,26.00366838655617
C->D->F,0.006561249037740667,1.3113419843829397e-06,28.8228403404429
C->D->B->A->E->F,0.017055078820729333,3.4086560007001262e-06,24.6741682527037
C->D->B->E->F,0.015616025956289966,3.121044537085314e-06,25.057000339388374
C->D->B->F,0.008517768548855408,1.7023751799576375e-06,27.689447212024902
C->A->D->F,0.012220277808786173,2.4423647478259078e-06,26.121894771073517
C->A->D->B->E->F,0.021275054727335475,4.252067300528282e-06,23.71399870203126
C->A->D->B->F,0.014176797319900914,2.8333979434006056e-06,25.47692425660982
C->A->E->B->D->F,0.018821215201738697,3.761638911917473e-06,24.24622895677762
C->A->E->B->F,0.011936069235998702,2.3855623567454884e-06,26.22409226836545
C->A->E->F,0.009832695320447317,1.965178599254666e-06,27.06597973967408
C->A->B->D->F,0.01724758136960391,3.4471298755657084e-06,24.62542353615855
C->A->B->E->F,0.017460692811298476,3.4897226775214007e-06,24.572090843323977
C->A->B->F,0.010362435403863916,2.0710533203937242e-06,26.838087198150586
D->A,0.003927054355254894,7.848675185743134e-07,31.05203643646769
D->C->B->A,0.009452639476679497,1.8892200155343867e-06,27.23717461893724
D->C->B->E->A,0.011026273308814281,2.2037290518861513e-06,26.568418029710067
D->C->B->F->E->A,0.011032629528258122,2.2049994163199223e-06,26.56591521157172
D->C->A,0.00781611590165147,1.5621417321126537e-06,28.062795654126266
D->F->B->A,0.009107568539953113,1.8202535726640102e-06,27.398681078732654
D->F->B->C->A,0.011225132077132698,2.2434732911855053e-06,26.490790964272296
D->F->B->E->A,0.010681202372087898,2.134762609015775e-06,26.70650412595232
D->F->E->A,0.008577828456536514,1.714378851524952e-06,27.658931993639555
D->F->E->B->A,0.016205825947387675,3.238922929791686e-06,24.895993859090602
D->F->E->B->C->A,0.01832338948456726,3.662142648313181e-06,24.36264743003005
D->B->A,0.008954357916072629,1.7896326463141144e-06,27.472361064791762
D->B->C->A,0.011071921453252215,2.212852364835609e-06,26.550475599887108
D->B->E->A,0.010527991748207415,2.104141682665879e-06,26.769250202558016
D->B->F->E->A,0.010534347967651255,2.10541204709965e-06,26.76662896374859
D->A->C->B,0.01057814307007974,2.114165008036582e-06,26.74861119543675
D->A->E->B,0.01003421336503494,2.005454325866851e-06,26.977872246072273
D->A->E->F->B,0.010040569584478782,2.0067246903006223e-06,26.975122058307438
D->A->B,0.008460579532900156,1.6909452895150867e-06,27.718704437600824
D->C->B,0.0049191142990342345,9.831422445936135e-07,30.073836423175283
D->C->A->E->B,0.013923274911431516,2.7827285394051913e-06,25.555291578731364
D->C->A->E->F->B,0.013929631130875359,2.7839989038389623e-06,25.553309400588834
D->C->A->B,0.012349641079296732,2.468219503053427e-06,26.07616220357656
D->F->B,0.004574043362307851,9.14175801723237e-07,30.389702786900457
D->F->E->A->C->B,0.015228917171361362,3.04367634098722e-06,25.1660153153242
D->F->E->A->B,0.013111353634181776,2.620456622465725e-06,25.816230249633705
D->F->E->B,0.011672300769742412,2.332845158850913e-06,26.321140862762423
D->B,0.004420832738427367,8.835548753733411e-07,30.537664723804838
D->A->C,0.008701099513975935,1.7390160070649678e-06,27.59696420442375
D->A->E->B->C,0.011911256921138745,2.380603326838465e-06,26.233129638210983
D->A->E->F->B->C,0.011917613140582588,2.3818736912722364e-06,26.230812725081197
D->A->B->C,0.010337623089003961,2.0660942904867007e-06,26.848498624370947
D->C,0.0030420707429304286,6.079932436219996e-07,32.16101246835796
D->F->B->A->C,0.013881613698674154,2.7744020611546646e-06,25.568306015583513
D->F->B->C,0.0064510869184116575,1.289324802694851e-06,28.89637662748313
D->F->B->E->A->C,0.01545524753080894,3.0889110975064292e-06,25.10194591024544
D->F->E->A->C,0.013351873615257557,2.668527340015606e-06,25.737283433355344
D->F->E->A->B->C,0.014988397190285581,2.995605623437339e-06,25.235153628146342
D->F->E->B->A->C,0.020979871106108716,4.193071418282341e-06,23.774677404340704
D->F->E->B->C,0.013549344325846218,2.707994159822527e-06,25.6735227660417
D->B->A->C,0.013728403074793671,2.743781134804769e-06,25.616505342690424
D->B->C,0.006297876294531173,1.258703876344955e-06,29.00076430333759
D->B->E->A->C,0.015302036906928457,3.0582901711565334e-06,25.145213110252314
D->B->F->E->A->C,0.015308393126372298,3.059560535590304e-06,25.143409495558306
D->A->C->B->E,0.015178958731572711,3.033691565345831e-06,25.180285759149797
D->A->C->B->F->E,0.015185314951016552,3.0349619297796024e-06,25.178467522955906
D->A->E,0.005433397703541969,1.0859277685576018e-06,29.64199061266622
D->A->B->E,0.013061395194393127,2.6104718468243363e-06,25.832809861670253
D->A->B->F->E,0.013067751413836967,2.6117422112581073e-06,25.830696917741342
D->C->B->A->E,0.010958982824966572,2.190280265517675e-06,26.59500309826532
D->C->B->E,0.009519929960527206,1.9026688019028628e-06,27.206368028975273
D->C->B->F->E,0.009526286179971047,1.9039391663366338e-06,27.203469320788468
D->C->A->E,0.009322459249938546,1.863201982095942e-06,27.297400624656085
D->C->A->B->E,0.016950456740789703,3.387746060362676e-06,24.700891510911816
D->C->A->B->F->E,0.016956812960233544,3.3890164247964477e-06,24.69926326358497
D->F->B->A->E,0.010613911888240188,2.1213138226472986e-06,26.73395078130214
D->F->B->C->A->E,0.012731475425419773,2.5445335411687937e-06,25.94391820031985
D->F->B->E,0.009174859023800823,1.8337023590324864e-06,27.36671156299622
D->F->E,0.0070714851082494395,1.4133186015416637e-06,28.49759924991912
D->B->A->E,0.010460701264359704,2.090692896297403e-06,26.797097563925632
D->B->C->A->E,0.01257826480153929,2.5139126148188975e-06,25.99649822736594
D->B->E,0.00902164839992034,1.8030814326825905e-06,27.439846587650795
D->B->F->E,0.00902800461936418,1.8043517971163616e-06,27.436787835062717
D->A->C->B->E->F,0.01873126554501191,3.7436614261265546e-06,24.26703435418409
D->A->C->B->F,0.011633008137577353,2.3249920689988786e-06,26.335785242346287
D->A->E->B->F,0.011089078432532552,2.2162813868291477e-06,26.543751008979942
D->A->E->F,0.00898570451698117,1.7958976293383255e-06,27.457184228360795
D->A->B->E->F,0.016613702007832326,3.32044170760506e-06,24.788041396647632
D->A->B->F,0.009515444600397768,1.9017723504773836e-06,27.208414710203826
D->C->B->A->E->F,0.014511289638405773,2.900250126298399e-06,25.375645456228316
D->C->B->E->F,0.013072236773966406,2.6126386626835865e-06,25.829206506071152
D->C->B->F,0.005973979366531847,1.1939693055559103e-06,29.230068378624626
